MEIS3_2; CpG Island 17
TBX5_3; CpG Island 19
MGA_1; CpG Island 19
TBX15_2; CpG Island 19
TBX1_3; CpG Island 19
TBX4_1; CpG Island 19
TBX5_4; CpG Island 19
TCF3_7; CpG Island 19
TCF4_1; CpG Island 19
TCF4_2; CpG Island 19
SNAI2_1; CpG Island 19
HEY1_disc1; CpG Island 19
MEOX2_1; CpG Island 19
NKX6-1_4; CpG Island 19
NKX6-1_5; CpG Island 19
NFY_known5; CpG Island 19
NFY_known3; CpG Island 19
NFY_known6; CpG Island 19
NFY_disc1; CpG Island 19
SP1_disc1; CpG Island 19
NFY_known4; CpG Island 19
IRF_disc1; CpG Island 19
E2F_disc4; CpG Island 19
SP2_disc1; CpG Island 19
PBX3_disc1; CpG Island 19
CEBPB_disc2; CpG Island 19
TATA_known1; CpG Island 19
AP1_known6; CpG Island 19
HMGN3_disc1; CpG Island 19
AP1_known1; CpG Island 19
AP1_known2; CpG Island 19
AP1_known3; CpG Island 19
AP1_known4; CpG Island 19
AP1_known7; CpG Island 19
NANOG_disc2; CpG Island 19
IKZF1_2; CpG Island 19
FOXB1_1; CpG Island 19
TFAP4_2; CpG Island 19
TFAP4_3; CpG Island 19
TRIM28_disc2; CpG Island 19
NFKB_known4; CpG Island 19
NFKB_known5; CpG Island 19
BPTF_1; CpG Island 19
SP2_disc3; CpG Island 19
ZBTB7A_disc2; CpG Island 19
SRF_known6; CpG Island 19
SRF_known1; CpG Island 19
REST_disc10; CpG Island 20
RREB1_2; CpG Island 20
RREB1_2; CpG Island 20
RREB1_2; CpG Island 20
RREB1_1; CpG Island 20
RREB1_2; CpG Island 20
RREB1_1; CpG Island 20
RREB1_2; CpG Island 20
RREB1_1; CpG Island 20
ID4_1; CpG Island 20
SPI1_disc3; CpG Island 20
REST_disc8; CpG Island 20
SIN3A_disc7; CpG Island 20
SMC3_disc2; CpG Island 20
TATA_disc1; CpG Island 20
YY1_known4; CpG Island 20
HNF4_disc3; CpG Island 20
TCF12_disc5; CpG Island 20
EP300_disc9; CpG Island 20
RAD21_disc7; CpG Island 20
BCL_disc9; CpG Island 20
EGR1_disc6; CpG Island 20
ZNF143_disc3; CpG Island 20
ETS_disc7; CpG Island 20
YY1_disc5; CpG Island 20
MYC_known9; CpG Island 20
MYC_known9; CpG Island 20
MYC_known3; CpG Island 20
MYC_known3; CpG Island 20
MYC_known5; CpG Island 20
MYC_known11; CpG Island 20
MYC_known15; CpG Island 20
SIN3A_disc2; CpG Island 20
NR3C1_disc4; CpG Island 20
YY1_known4; CpG Island 20
ESRRA_disc4; CpG Island 20
HIC1_2; CpG Island 20
RAD21_disc8; CpG Island 20
BDP1_disc3; CpG Island 20
NFKB_disc2; CpG Island 20
GCM1_3; CpG Island 20
GCM1_3; CpG Island 20
E2F_known10; CpG Island 21
E2F_known11; CpG Island 21
E2F_known13; CpG Island 21
NANOG_disc2; CpG Island 21
ZNF263_disc1; CpG Island 21
STAT_disc7; CpG Island 21
TATA_disc7; CpG Island 21
PAX5_known2; CpG Island 21
NR3C1_known1; CpG Island 21
REST_known3; CpG Island 22
SPI1_disc3; CpG Island 22
TCF12_disc5; CpG Island 22
HES5_1; CpG Island 23
HEY1_known1; CpG Island 23
HEY2_1; CpG Island 23
HEY2_2; CpG Island 23
CACBP_1; CpG Island 23
SP1_disc3; CpG Island 23
CACBP_1; CpG Island 23
RAD21_disc5; CpG Island 23
AP1_known3; CpG Island 23
MAF_known2; CpG Island 23
NFE2_disc1; CpG Island 23
NR3C1_disc2; CpG Island 23
TFAP2_disc1; CpG Island 23
BATF_disc1; CpG Island 23
HMGN3_disc1; CpG Island 23
STAT_disc7; CpG Island 23
ESRRA_known9; CpG Island 23
TFCP2_1; CpG Island 27
ESR2_1; CpG Island 27
POU2F2_known6; CpG Island 27
CACD_2; CpG Island 27
SP1_disc3; CpG Island 27
HF1H3B_1; CpG Island 27
REST_disc9; CpG Island 27
SP1_known8; CpG Island 27
MYC_disc10; CpG Island 27
STAT_disc7; CpG Island 27
POU2F2_disc2; CpG Island 27
